id,model,noMesin,noRangka,noPolisi,deliveryDate
758,FORTUNER 4X2 BENSIN,2TRA276459,MHFGX8GS7H0502911,,2017-05-20
758,-,2ARU395624,MR053AK50H4509525,,2017-05-23
758,FORTUNER 4X2 BENSIN,2TRA237155,MHFGX8GS6H0502561,,2017-05-23
759,AVANZA 1.3,-,MHKM5EA3JGK031101,,2016-11-30
759,AVANZA 1.3,-,MHKM5EA3JGK034132,,2016-11-30
760,FORTUNER 4X2 DIESEL,-,MHFGB8GS3G0821543,,2016-11-26
760,HILUX DOUBLE CABIN 2.5 DIESEL,-,MR0KS8CD3G1034763,,2016-11-26
760,FORTUNER 4X2 DIESEL,-,MHFGB8GS4G0822250,,2016-11-26
760,HILUX DOUBLE CABIN 2.5 DIESEL,-,MR0KS8CD2G1034821,,2016-11-26
760,FORTUNER 4X4 DIESEL,-,MHFHB3FS0G0034462,,2016-11-26
760,FORTUNER 4X2 DIESEL,-,MHFGB8GS0G0822679,,2016-11-26
761,AVANZA 1.3 G M/T,-,MHKM5EA3JKK162160,,2020-06-02
